age,balance,day,duration,campaign,job,marital,education,default,housing,loan,contact,month,y
40,0,8,232,1,management,married,tertiary,no,yes,no,cellular,may,0
44,1678,17,120,1,blue-collar,married,secondary,no,yes,no,unknown,jun,0
34,6438,21,21,7,unemployed,married,secondary,no,yes,no,cellular,nov,0
33,349,28,62,3,management,married,tertiary,no,yes,yes,cellular,jul,0
32,-34,30,1236,2,services,married,secondary,no,yes,no,unknown,may,1
35,45,12,40,6,unemployed,divorced,secondary,no,no,no,unknown,jun,0
43,13044,18,36,4,management,married,tertiary,no,no,no,cellular,aug,0
36,1762,3,259,1,technician,divorced,tertiary,no,yes,no,unknown,jun,0
42,1601,20,23,2,admin,single,secondary,no,no,no,unknown,jun,0
33,2184,20,151,1,services,married,secondary,no,yes,no,cellular,apr,0
36,1314,17,330,3,admin,married,secondary,no,yes,no,cellular,jul,0
30,133,29,113,2,technician,single,secondary,no,yes,no,cellular,jan,0
32,3166,20,418,3,blue-collar,married,secondary,no,yes,no,cellular,nov,0
36,812,2,138,2,services,married,secondary,no,yes,yes,cellular,feb,0
37,-1050,2,548,2,blue-collar,married,unknown,no,yes,no,unknown,jun,0
52,2133,18,90,1,unemployed,married,tertiary,no,no,yes,cellular,jul,0
38,2322,19,207,1,blue-collar,married,primary,no,no,no,unknown,jun,0
43,481,18,164,1,management,married,secondary,no,yes,no,telephone,nov,0
49,196,4,9,7,technician,married,tertiary,no,no,no,cellular,feb,0
30,2150,23,465,4,blue-collar,married,secondary,no,yes,no,unknown,may,0
24,183,18,453,4,services,married,secondary,no,yes,no,cellular,may,0
36,2326,20,7,5,management,married,tertiary,no,yes,no,cellular,nov,0
35,1045,21,61,1,management,single,tertiary,no,yes,no,unknown,may,0
36,421,13,793,5,technician,married,tertiary,no,yes,no,cellular,may,0
39,3045,4,260,2,blue-collar,married,secondary,no,no,no,cellular,feb,0
60,221,29,92,4,admin,married,secondary,no,no,no,cellular,aug,0
35,2311,5,659,1,management,married,secondary,no,yes,no,cellular,may,0
27,220,19,480,1,entrepreneur,married,secondary,no,yes,no,unknown,may,0
